word_order,n,empirical_entropy,ci_upper,ci_lower,length
1,14054,8.133793473055666,9.103904390576863,7.5018779268417095,10
2,17934,9.853459348777346,10.356576272358215,9.418231224313798,10
3,17298,9.82023263066448,10.330050506562088,9.407191171303571,10
4,18470,10.079132137268893,10.606318001629178,9.570193331388898,10
5,18892,10.053144417976211,10.65215813286329,9.513930718518516,10
6,19063,10.054269167580378,10.71931940603439,9.502846201061766,10
7,19315,10.169421528577693,10.781878099475469,9.65627217805339,10
8,18448,9.839780269945079,10.50171383257651,9.236326869213944,10
9,17942,9.642636315833547,10.46534937454973,8.84543117294997,10
10,26920,12.198607369904812,12.446787510794744,11.900438503981471,10
1,12519,8.041823748493124,9.098164062954549,7.177920330436603,20
2,17684,10.338024343561072,11.024920723791714,9.71472802193506,20
3,16474,10.211586878772529,10.833458312439323,9.664880527748508,20
4,17473,10.27361855015787,10.977078411262388,9.636813140626222,20
5,18057,10.3212343010874,11.04852354572087,9.667278675183395,20
6,18086,10.313376718408609,11.157486926018471,9.55318051730362,20
7,18420,10.359071626566106,11.125001074847562,9.700464921769552,20
8,18259,10.306119817875587,11.101651577766752,9.591739831300412,20
9,18524,10.328654445342101,11.070452617404278,9.603792580259983,20
10,18359,10.31255692389395,11.078521316912086,9.588513833419272,20
11,18258,10.29138127200607,11.0324558512609,9.56480900760418,20
12,18075,10.276930229703728,11.095938197403457,9.598539025769359,20
13,17843,10.254546396125617,11.04261223499447,9.550758845482996,20
14,18010,10.271993674829776,11.028003352826605,9.636691669149023,20
15,17707,10.178114922673126,10.978499101872325,9.503122257889267,20
16,17766,10.236941297751708,11.053060006176098,9.561436993896072,20
17,18130,10.342711819662696,11.114363266528269,9.7270134753033215,20
18,16682,9.739108256568471,10.711614161362041,8.98765730789278,20
19,16794,9.870122755311096,10.872819736269747,8.904422896803277,20
20,24568,12.566841382106087,12.725211631738784,12.383848935532422,20
1,8197,7.836883201216979,8.940469044707346,6.935763175909792,30
2,12529,10.209699571677698,10.991856434449387,9.408726200728857,30
3,11759,10.182477892478328,10.826184879118166,9.624708753145642,30
4,12184,10.13484026035402,10.94514856939809,9.42663778485345,30
5,12725,10.193025863499692,10.99243417287461,9.478163289885195,30
6,12901,10.218210842445307,11.125831679340909,9.510423138067251,30
7,13056,10.256826980515356,11.129229893086437,9.509961533037256,30
8,13131,10.236079408519045,11.123786392997962,9.522132565987837,30
9,13044,10.271565647680452,11.12145303575332,9.528903421673927,30
10,13135,10.251497983196158,11.090279593065878,9.524200372146277,30
11,13071,10.224848077185916,11.071022742634593,9.516540850030077,30
12,12916,10.231898853899784,10.999174037045877,9.502210233893063,30
13,12946,10.230889648088484,11.073074936092219,9.491175956449265,30
14,12910,10.19058606056708,11.025256712969467,9.479012802775808,30
15,12832,10.189905473355417,11.048353359819558,9.397948848220526,30
16,12815,10.185464503003494,11.044613675590762,9.49769281999245,30
17,12868,10.19062088215466,10.990906099404997,9.484756977609932,30
18,12801,10.184175257951196,10.981771366270399,9.4627788483813,30
19,12732,10.16226860194387,11.005306410342582,9.44881319573842,30
20,12892,10.177286757812029,11.005403562354529,9.443568906183604,30
21,12828,10.156271250449294,11.00285355534599,9.462369488881164,30
22,12699,10.15459076340857,11.004450317365821,9.447861779569338,30
23,12783,10.158294136768392,10.996607399041416,9.463150127521008,30
24,12662,10.142489395708157,10.996470668039562,9.432106686094773,30
25,12515,10.045351873193322,10.90876894633344,9.255782239792767,30
26,12576,10.138940342684847,10.949845684527478,9.37202670302014,30
27,12887,10.233122603949981,11.045941952894193,9.545041272752359,30
28,11738,9.595058800876423,10.630860351392025,8.834321752204819,30
29,11665,9.781962593740532,10.759105632148968,8.770662578201664,30
30,17367,12.450562165024092,12.572402801613606,12.294131444206876,30
