wals_code,latitude,longitude,x1a,x2a,x3a,x4a,x5a,x6a,x7a,x8a,x9a,x10a,x11a,x12a,x13a,x14a,x15a,x16a,x17a,x18a,x19a,x20a,x21a,x22a,x23a,x24a,x25a,x26a,x27a,x28a,x29a,x30a,x31a,x32a,x33a,x34a,x35a,x36a,x37a,x38a,x39a,x40a,x41a,x42a,x43a,x44a,x45a,x46a,x47a,x48a,x49a,x50a,x51a,x52a,x53a,x54a,x55a,x56a,x57a,x58a,x59a,x60a,x61a,x62a,x63a,x64a,x65a,x66a,x67a,x68a,x69a,x70a,x71a,x72a,x73a,x74a,x75a,x76a,x77a,x78a,x79a,x80a,x81a,x82a,x83a,x84a,x85a,x86a,x87a,x88a,x89a,x90a,x91a,x92a,x93a,x94a,x95a,x96a,x97a,x98a,x99a,x100a,x101a,x102a,x103a,x104a,x105a,x106a,x107a,x108a,x109a,x110a,x111a,x112a,x113a,x114a,x115a,x116a,x117a,x118a,x119a,x120a,x121a,x122a,x123a,x124a,x125a,x126a,x127a,x128a,x129a,x130a,x131a,x132a,x133a,x134a,x135a,x136a,x137a,x138a,x139a,x140a,x141a,x142a,x143a,x144a,iso,language,wiki_code
jav,-7,111,Average,Large (7-14),Moderately low,No voicing contrast,Other,None,No glottalized consonants,"/l/, no obstruent laterals",NA,NA,None,NA,No tones,No fixed stress,Right-edge: Ultimate or penultimate,Prominence,Undetermined,All present,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marked by mixed or other strategies,Optional,"Formally similar, with interrogative",NA,NA,NA,Adjectives and relative clauses collapsed,Marked by preceding word,NA,NA,NA,No grammatical marking,No past tense,No inflectional future,"From 'finish', 'already'",NA,NA,NA,Neither type of system,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Particle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Words derived from Min Nan Chinese te,NA,NA,NA,NA,NA,NA,jav,Javanese,jv
jpn,37,140,Moderately small,Average (5-6),Average,In both plosives and fricatives,None missing in /p t k b d g/,Uvular continuants only,No glottalized consonants,No laterals,No velar nasal,Contrast absent,None,Moderately complex,Simple tone system,NA,NA,NA,NA,All present,None,Exclusively concatenative,Monoexponential case,4-5 categories per word,Dependent marking,Dependent marking,Dependent-marking,Strongly suffixing,Full reduplication only,No case marking,No subject person/number marking,NA,NA,NA,Plural suffix,"Only human nouns, optional",Person stem + nominal plural affix,Associative same as additive plural,"No definite, but indefinite article",Indefinite word distinct from 'one',No inclusive/exclusive,No person marking,Three-way contrast,Different inflection,Unrelated,"3rd person only, but also non-singular",Pronouns avoided for politeness,Interrogative-based,Identical,No person marking,8-9 cases,Symmetrical,Postpositional clitics,Differentiation,"One-th, two-th, three-th",Marked by suffix,Obligatory,"Formally similar, with interrogative",No possessive affixes,Absent,No possessive classification,Genitives and adjectives collapsed,Marked by mixed or other strategies,Double-Possessive,'And' identical to 'with',Differentiation,No grammatical marking,"Present, no remoteness distinctions",No inflectional future,No perfect,Tense-aspect suffixes,Second person number-neutral,Normal imperative + special negative,Neither type of system,Inflectional optative absent,Affixes on verbs,Other,Overlap for either possibility or necessity,Indirect only,Verbal affix or clitic,None,None,SOV,SV,OV,XOV,Postpositions,Genitive-Noun,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,Relative clause-Noun,Degree word-Adjective,Final,Not initial interrogative phrase,Final subordinator word,OV and Postpositions,OV and RelN,OV and AdjN,Nominative - accusative (standard),Nominative - accusative (standard),Neutral,Optional pronouns in subject position,No person marking,No person marking,A and P do not or do not both occur on the verb,Indirect-object construction,Distinct from reflexive,Present,No antipassive,No applicative construction,NA,Morphological but no compound,Negative affix,Asymmetric,A/Fin and A/Cat,Predicate negation also present,Question particle,Locational,Mixed,Different,Impossible,Locational,Gap,Gap,Desiderative verbal affix,Balanced/deranked,Balanced/deranked,Balanced,Balanced,Identical,Different,Decimal,6,11,Green vs. blue,Red vs. yellow,No M-T pronouns,No N-M pronouns,Words derived from Sinitic cha,NA,NA,NA,Affective meanings,[V-Neg],MorphNeg,jpn,Japanese,ja
kaz,50,70,NA,NA,NA,NA,NA,NA,NA,NA,No initial velar nasal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Associative same as additive plural,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mixed,NA,NA,NA,NA,NA,NA,"One-th, two-th, three-th",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inflectional optative absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Predicate negation also present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Identical,Different,NA,NA,NA,NA,NA,NA,NA,Words derived from Sinitic cha,NA,NA,NA,NA,NA,NA,kaz,Kazakh,kk
kbl,36.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Three-way contrast,Different stem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ergative-Possessive,NA,NA,NA,NA,NA,NA,NA,Second person number-neutral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VSO,VS,VO,VOX,Prepositions,Noun-Genitive,Noun-Adjective,NA,NA,Noun-Relative clause,NA,No question particle,NA,NA,VO and Prepositions,VO and NRel,VO and NAdj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Double negation,NA,NA,NA,Interrogative intonation only,Locational,Mixed,Different,Impossible,Locational,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Others,NA,NA,NA,NA,ObligDoubleNeg,ObligDoubleNeg,kab,Kabyle,kab
kby,9.66666666667,1.16666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SVO,SV,VO,NA,Prepositions,Genitive-Noun,Noun-Adjective,NA,NA,NA,NA,Final,NA,NA,VO and Prepositions,NA,VO and NAdj,NA,NA,NA,Optional pronouns in subject position,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative affix,NA,NA,NA,Question particle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[Neg-V],MorphNeg,kbp,Kabiye,kbp
kfy,47.75,124.416666667,NA,NA,NA,NA,NA,NA,NA,NA,No velar nasal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kir,Kirghiz,ky
kgz,42,75,Average,Large (7-14),Average,In both plosives and fricatives,None missing in /p t k b d g/,Uvular stops only,No glottalized consonants,"/l/, no obstruent laterals",No initial velar nasal,NA,High and mid,Complex,No tones,NA,NA,NA,NA,All present,None,NA,NA,NA,NA,NA,NA,Strongly suffixing,NA,NA,NA,None,No gender,No gender,Plural suffix,NA,NA,NA,NA,Indefinite word same as 'one',NA,NA,NA,NA,NA,NA,NA,Interrogative-based,NA,NA,NA,NA,Case suffixes,NA,"One-th, two-th, three-th",Marked by suffix,NA,NA,Possessive suffixes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tense-aspect suffixes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Postpositions,NA,Adjective-Noun,NA,Numeral-Noun,NA,NA,Final,NA,NA,NA,NA,NA,NA,NA,NA,Subject affixes on verb,NA,NA,NA,NA,Distinct from reflexive,NA,No antipassive,No applicative construction,NA,NA,NA,NA,NA,NA,Question particle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Different,Different,NA,NA,NA,NA,NA,NA,NA,Words derived from Sinitic cha,NA,NA,NA,NA,NA,NA,kir,Kirghiz,ky
khm,12.5,105,Average,Large (7-14),Moderately low,No voicing contrast,Other,None,Implosives only,"Laterals, but no /l/, no obstruent laterals",No initial velar nasal,Contrast absent,None,Complex,No tones,Ultimate,Fixed stress (no weight-sensitivity),Prominence,Undetermined,All present,None,NA,NA,NA,NA,NA,NA,Little affixation,Productive full and partial reduplication,No case marking,No subject person/number marking,None,No gender,No gender,Plural word,"All nouns, always optional",Person-number stem,NA,Definite word distinct from demonstrative,NA,No inclusive/exclusive,No person marking,NA,NA,NA,No gender distinctions,Pronouns avoided for politeness,Mixed,Identical,No person marking,No morphological case-marking,No case-marking,No case affixes or adpositional clitics,Differentiation,"One-th, two-th, three-th",NA,Optional,"Formally similar, with interrogative",No possessive affixes,NA,NA,Weakly differentiated,NA,NA,'And' different from 'with',NA,No grammatical marking,No past tense,No inflectional future,"From 'finish', 'already'",No tense-aspect inflection,No second-person imperatives,Normal imperative + special negative,NA,Inflectional optative absent,Verbal constructions,NA,NA,No grammatical evidentials,No grammatical evidentials,None,None,SVO,SV,VO,NA,Prepositions,Noun-Genitive,Noun-Adjective,Noun-Demonstrative,Noun-Numeral,Noun-Relative clause,Adjective-Degree word,Final,Not initial interrogative phrase,Initial subordinator word,VO and Prepositions,VO and NRel,VO and NAdj,Neutral,Neutral,Neutral,NA,No person marking,No person marking,A and P do not or do not both occur on the verb,Mixed,NA,Absent,NA,NA,Both,Morphological but no compound,NA,Symmetric,Non-assignable,Predicate negation also present,Question particle,Topic,Verbal encoding,Different,Possible,Exceed,Gap,Gap,Subject is left implicit,NA,NA,NA,NA,Identical,NA,Decimal,NA,NA,NA,NA,NA,NA,Words derived from Min Nan Chinese te,NA,NA,NA,Affective meanings,NegV,SNegVO,khm,Khmer,km
knd,14,76,Moderately large,Average (5-6),Moderately low,In plosives alone,None missing in /p t k b d g/,None,No glottalized consonants,"/l/, no obstruent laterals",No velar nasal,Contrast absent,None,Complex,No tones,NA,NA,NA,NA,All present,None,Exclusively concatenative,Monoexponential case,2-3 categories per word,Dependent marking,Dependent marking,Dependent-marking,Strongly suffixing,Productive full and partial reduplication,No syncretism,Syncretic,Three,Sex-based,Semantic,Plural suffix,"All nouns, optional in inanimates",Person stem + pronominal plural affix,Unique periphrastic associative plural,NA,Indefinite word same as 'one',No inclusive/exclusive,No inclusive/exclusive,Two-way contrast,Different inflection,Related to remote demonstratives,"3rd person only, but also non-singular",Multiple politeness distinctions,Interrogative-based,Identical,No person marking,6-7 cases,Symmetrical,Case suffixes,Differentiation,"First/one-th, two-th, three-th",Marked by reduplication,Absent,"Formally similar, with interrogative",No possessive affixes,Absent,No possessive classification,NA,NA,Mixed,'And' different from 'with',Differentiation,No grammatical marking,"Present, no remoteness distinctions",Inflectional future exists,Other perfect,Tense-aspect suffixes,Second singular and second plural,Special imperative + special negative,Maximal system,Inflectional optative absent,Verbal constructions,Verbal constructions,Overlap for both possibility and necessity,Indirect only,Verbal affix or clitic,Tense,None,SOV,SV,OV,NA,Postpositions,Genitive-Noun,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,Mixed,Degree word-Adjective,Final,Not initial interrogative phrase,Mixed,OV and Postpositions,Other,OV and AdjN,Nominative - accusative (standard),Nominative - accusative (standard),Accusative,Subject affixes on verb,Only the A argument,No zero realization,A and P do not or do not both occur on the verb,Indirect-object construction,Distinct from reflexive,Present,No antipassive,Benefactive object; both bases,Purposive but no sequential,Morphological but no compound,Negative affix,Asymmetric,A/Fin and A/Cat,Predicate negation also present,Question particle,Locational,Nonverbal encoding,Identical,Possible,NA,Gap,Gap,Subject is left implicit,Deranked,Deranked,Deranked,Balanced/deranked,Different,Different,Decimal,NA,NA,NA,NA,No M-T pronouns,No N-M pronouns,NA,NA,NA,NA,Affective meanings,[V-Neg],MorphNeg,kan,Kannada,kn
kor,37.5,128,Average,Large (7-14),Moderately low,No voicing contrast,Other,None,Ejectives only,"/l/, no obstruent laterals",No initial velar nasal,Contrast absent,None,Moderately complex,No tones,NA,NA,NA,NA,All present,None,Exclusively concatenative,Monoexponential case,6-7 categories per word,Dependent marking,Dependent marking,Dependent-marking,Strongly suffixing,Productive full and partial reduplication,No case marking,No subject person/number marking,NA,NA,NA,Plural suffix,NA,Person-number stem + nominal plural affix,Associative same as additive plural,No definite or indefinite article,No definite or indefinite article,No inclusive/exclusive,No person marking,Three-way contrast,Different stem,Unrelated,3rd person singular only,Pronouns avoided for politeness,Interrogative-based,Identical,No person marking,6-7 cases,Symmetrical,Case suffixes,Differentiation,"One-th, two-th, three-th",Marked by suffix,Obligatory,NA,NA,Absent,No possessive classification,Highly differentiated,Marked by following word,Sentential,'And' different from 'with',Differentiation,Grammatical marking,"Present, no remoteness distinctions",No inflectional future,No perfect,Tense-aspect suffixes,Second person number-neutral,Normal imperative + special negative,Neither type of system,Inflectional optative absent,Other kinds of markers,Other,Overlap for either possibility or necessity,Indirect only,Verbal affix or clitic,None,None,SOV,SV,OV,NA,Postpositions,Genitive-Noun,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,Relative clause-Noun,Degree word-Adjective,No question particle,Not initial interrogative phrase,Final subordinator word,OV and Postpositions,OV and RelN,OV and AdjN,Nominative - accusative (standard),Nominative - accusative (standard),Neutral,Optional pronouns in subject position,No person marking,No person marking,A and P do not or do not both occur on the verb,Indirect-object construction,Distinct from reflexive,Present,No antipassive,No applicative construction,Purposive but no sequential,Morphological but no compound,Negative particle,Both,A/Fin and A/NonReal,Predicate negation also present,Interrogative verb morphology,Locational,Mixed,Different,Impossible,Locational,Gap,Gap,Subject is left implicit,Balanced,Balanced,Balanced,Balanced,Different,Different,Decimal,6,11,Green vs. blue,Red vs. yellow,No M-T pronouns,No N-M pronouns,Words derived from Sinitic cha,NA,NA,NA,Affective meanings,NegV,SONegV,kor,Korean,ko
kpm,15.3333333333,120.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Productive full and partial reduplication,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No gender distinctions,NA,NA,NA,No person marking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mixed type,NA,NA,NA,NA,NA,NA,NA,No grammatical evidentials,No grammatical evidentials,NA,NA,NA,VS,VO,VOX,Prepositions,Noun-Genitive,No dominant order,NA,Numeral-Noun,Noun-Relative clause,NA,NA,Initial interrogative phrase,NA,VO and Prepositions,VO and NRel,Other,NA,NA,Ergative,NA,Both the A and P arguments,No zero realization,A precedes P,NA,NA,Absent,Implicit patient,NA,NA,NA,NA,NA,NA,NA,NA,NA,Verbal encoding,Different,Impossible,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pam,Kapampangan,pam
krc,43.5,42,NA,NA,NA,NA,NA,NA,NA,NA,No initial velar nasal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly suffixing,NA,NA,NA,NA,NA,NA,Plural suffix,NA,NA,Unique affixal associative plural,"No definite, but indefinite article",Indefinite word same as 'one',NA,NA,NA,NA,NA,NA,NA,Interrogative-based,NA,NA,NA,NA,Case suffixes,NA,NA,NA,NA,NA,Possessive suffixes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tense-aspect suffixes,Second singular and second plural,Normal imperative + normal negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOV,SV,OV,NA,Postpositions,Genitive-Noun,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,Relative clause-Noun,NA,No question particle,Not initial interrogative phrase,NA,OV and Postpositions,OV and RelN,OV and AdjN,NA,NA,NA,Subject affixes on verb,NA,NA,NA,NA,Distinct from reflexive,NA,NA,NA,NA,NA,Variation between negative word and affix,NA,NA,NA,Interrogative verb morphology,NA,NA,NA,NA,NA,Gap,Gap,NA,NA,NA,NA,NA,Different,Different,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type 2 / Type 4,More than one position,krc,Karachay-Balkar,krc
lao,18,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Little affixation,NA,NA,NA,NA,NA,NA,No plural,NA,NA,Unique periphrastic associative plural,No definite or indefinite article,No definite or indefinite article,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No case affixes or adpositional clitics,NA,NA,NA,NA,NA,No possessive affixes,NA,NA,NA,NA,NA,NA,NA,No grammatical marking,No past tense,No inflectional future,"From 'finish', 'already'",No tense-aspect inflection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SVO,SV,VO,NA,Prepositions,Noun-Genitive,Noun-Adjective,Noun-Demonstrative,Noun-Numeral,Noun-Relative clause,Adjective-Degree word,Final,Not initial interrogative phrase,Initial subordinator word,VO and Prepositions,VO and NRel,VO and NAdj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Negative word, unclear if verb or particle",NA,NA,NA,Question particle,NA,Verbal encoding,Different,Impossible,NA,NA,NA,NA,NA,NA,NA,NA,Different,Different,NA,NA,NA,NA,NA,NA,NA,Others,NA,NA,NA,Affective meanings,NegV,SNegVO,lao,Lao,lo
lat,57,24,Moderately large,Average (5-6),Average,In both plosives and fricatives,None missing in /p t k b d g/,None,No glottalized consonants,"/l/, no obstruent laterals",No velar nasal,Contrast absent,None,Complex,Simple tone system,Initial,Fixed stress (no weight-sensitivity),No weight,No rhythmic stress,All present,None,NA,NA,NA,NA,NA,NA,Weakly suffixing,NA,Core and non-core,Syncretic,Two,Sex-based,Semantic and formal,Plural suffix,"All nouns, always obligatory",Person-number stem,NA,Demonstrative word used as definite article,Indefinite word same as 'one',No inclusive/exclusive,No inclusive/exclusive,Two-way contrast,Identical,Related by gender markers,"3rd person only, but also non-singular",Binary politeness distinction,Interrogative-based,Differentiated,No person marking,5 cases,Syncretism in relevant NP-types,Case suffixes,Identity,"First, second, three-th",Marked by preceding word,Absent,Formally different,No possessive affixes,NA,NA,NA,NA,Double-Possessive,'And' different from 'with',Identity,No grammatical marking,"Present, no remoteness distinctions",Inflectional future exists,Other perfect,Mixed type,Second plural,Normal imperative + normal negative,Neither type of system,Inflectional optative absent,Verbal constructions,Verbal constructions,Overlap for both possibility and necessity,Indirect only,Verbal affix or clitic,Tense,None,SVO,No dominant order,VO,NA,Prepositions,Genitive-Noun,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,Noun-Relative clause,Degree word-Adjective,Initial,Initial interrogative phrase,Initial subordinator word,VO and Prepositions,VO and NRel,VO and AdjN,Nominative - accusative (standard),Nominative - accusative (standard),Accusative,Obligatory pronouns in subject position,Only the A argument,Zero in all 3sg forms,A and P do not or do not both occur on the verb,Indirect-object construction,NA,Present,No antipassive,No applicative construction,Purposive but no sequential,Morphological but no compound,Negative affix,Both,A/Cat,Predicate negation also present,Question particle,Locational,Nonverbal encoding,Identical,Possible,Particle,Relative pronoun,Relative pronoun,Subject is left implicit,NA,NA,NA,NA,NA,NA,Decimal,NA,NA,NA,NA,NA,NA,Words derived from Min Nan Chinese te,NA,NA,NA,NA,[Neg-V],MorphNeg,lav,Latvian,lv
lda,0.5,32.1666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong prefixing,NA,NA,NA,NA,NA,NA,Plural prefix,NA,NA,Associative same as additive plural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prepositional clitics,NA,NA,NA,Absent,NA,Possessive suffixes,Absent,Two classes,NA,NA,NA,'And' identical to 'with',NA,No grammatical marking,"Present, 2-3 remoteness distinctions",Inflectional future exists,Other perfect,Tense-aspect prefixes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SV,NA,NA,Prepositions,Noun-Genitive,Noun-Adjective,Noun-Demonstrative,Noun-Numeral,Noun-Relative clause,NA,NA,Not initial interrogative phrase,Initial subordinator word,NA,Other,NA,NA,NA,NA,Subject affixes on verb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative affix,NA,NA,NA,NA,Conjunctional,Mixed,Identical,Possible,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No M-T pronouns,No N-M pronouns,Words derived from Sinitic cha,NA,NA,NA,NA,[Neg-V],NA,lug,Luganda,lg
lez,41.6666666667,47.8333333333,Large,Average (5-6),High,In both plosives and fricatives,None missing in /p t k b d g/,Uvular stops and continuants,Ejectives only,"/l/, no obstruent laterals",No velar nasal,Contrast absent,High only,Complex,No tones,No fixed stress,Left-edge: First or second,Coda consonant,NA,All present,None,Exclusively concatenative,Monoexponential case,2-3 categories per word,Dependent marking,Dependent marking,Dependent-marking,Strongly suffixing,No productive reduplication,Core and non-core,No subject person/number marking,None,No gender,No gender,Plural suffix,"All nouns, always obligatory",Person-number stem,Associative same as additive plural,"No definite, but indefinite article",Indefinite word same as 'one',No inclusive/exclusive,No person marking,Three-way contrast,Different inflection,Related to non-remote demonstratives,No gender distinctions,No politeness distinction,Interrogative-based,Identical,No person marking,10 or more cases,Syncretism in relevant NP-types,Case suffixes,Differentiation,"One-th, two-th, three-th",Marked by reduplication,Absent,"Formally similar, without interrogative",No possessive affixes,Absent,No possessive classification,Highly differentiated,Marked by suffix,Sentential,'And' different from 'with',Identity,Grammatical marking,"Present, no remoteness distinctions",Inflectional future exists,Other perfect,Tense-aspect suffixes,Second person number-neutral,Special imperative + special negative,Neither type of system,Inflectional optative present,Verbal constructions,Other,No overlap,Indirect only,Verbal affix or clitic,Tense and aspect,None,SOV,SV,OV,NA,Postpositions,Genitive-Noun,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,Relative clause-Noun,Degree word-Adjective,No question particle,Not initial interrogative phrase,Subordinating suffix,OV and Postpositions,OV and RelN,OV and AdjN,Ergative - absolutive,Ergative - absolutive,Neutral,Optional pronouns in subject position,No person marking,No person marking,A and P do not or do not both occur on the verb,Indirect-object construction,NA,Absent,No antipassive,No applicative construction,Purposive but no sequential,Morphological but no compound,Negative affix,Both,A/Cat,Predicate negation also present,Interrogative verb morphology,Genitive,Nonverbal encoding,Different,Impossible,Locational,Gap,Gap,Subject is left implicit,Deranked,Deranked,Balanced/deranked,Balanced/deranked,Identical,Different,Hybrid vigesimal-decimal,NA,NA,NA,NA,No M-T pronouns,No N-M pronouns,NA,NA,NA,NA,NA,[V-Neg],MorphNeg,lez,Lezgian,lez
lit,55,24,Large,Average (5-6),Moderately high,In both plosives and fricatives,None missing in /p t k b d g/,None,No glottalized consonants,"Laterals, but no /l/, no obstruent laterals",NA,NA,None,Complex,NA,No fixed stress,Unbounded: Stress can be anywhere,Lexical stress,Undetermined,All present,None,NA,NA,NA,NA,NA,NA,Strongly suffixing,NA,NA,NA,NA,NA,NA,Plural suffix,"All nouns, always obligatory",NA,NA,No definite or indefinite article,No definite or indefinite article,NA,NA,Two-way contrast,Identical,NA,NA,Multiple politeness distinctions,Interrogative-based,Differentiated,NA,6-7 cases,Additive-quantitatively asymmetrical,Case suffixes,Mixed,"First, second, three-th",Marked by preceding word,NA,NA,NA,NA,NA,NA,NA,NA,'And' different from 'with',NA,NA,NA,NA,NA,Tense-aspect suffixes,Second singular and second plural,Normal imperative + normal negative,Neither type of system,NA,Verbal constructions,Verbal constructions,Overlap for both possibility and necessity,Indirect only,Verbal affix or clitic,NA,NA,SVO,SV,VO,NA,Prepositions,Genitive-Noun,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,Noun-Relative clause,Degree word-Adjective,Initial,Initial interrogative phrase,Initial subordinator word,VO and Prepositions,VO and NRel,VO and AdjN,NA,NA,NA,Subject affixes on verb,NA,NA,NA,NA,Mixed,NA,NA,NA,NA,NA,Negative affix,NA,NA,Predicate negation also present,Question particle,NA,Nonverbal encoding,Identical,Possible,NA,NA,NA,NA,NA,NA,NA,NA,Identical,Different,NA,NA,NA,NA,NA,NA,NA,Others,NA,NA,NA,NA,[Neg-V],MorphNeg,lit,Lithuanian,lt
lno,40,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"First, second, three-th",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Second singular and second plural,Special imperative + normal negative,Neither type of system,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lad,Ladino,lad
