wals.code,latitude,longitude,1A,2A,3A,4A,5A,6A,7A,8A,9A,10A,11A,12A,13A,14A,15A,16A,17A,18A,19A,20A,21A,22A,23A,24A,25A,26A,27A,28A,29A,30A,31A,32A,33A,34A,35A,36A,37A,38A,39A,40A,41A,42A,43A,44A,45A,46A,47A,48A,49A,50A,51A,52A,53A,54A,55A,56A,57A,58A,59A,60A,61A,62A,63A,64A,65A,66A,67A,68A,69A,70A,71A,72A,73A,74A,75A,76A,77A,78A,79A,80A,81A,82A,83A,84A,85A,86A,87A,88A,89A,90A,91A,92A,93A,94A,95A,96A,97A,98A,99A,100A,101A,102A,103A,104A,105A,106A,107A,108A,109A,110A,111A,112A,113A,114A,115A,116A,117A,118A,119A,120A,121A,122A,123A,124A,125A,126A,127A,128A,129A,130A,131A,132A,133A,134A,135A,136A,137A,138A,139A,140A,141A,142A,143A,144A,glottocode,language
hmi,-0.333333333333,-74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly suffixing,NA,No syncretism,Not syncretic,NA,NA,NA,Plural suffix,NA,Person-number stem + pronominal plural affix,NA,No definite or indefinite article,No definite or indefinite article,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pronouns only,6-7 cases,Symmetrical,Case suffixes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tense-aspect suffixes,Second singular and second plural,NA,NA,NA,Affixes on verbs,NA,NA,NA,NA,NA,NA,SOV,SV,OV,XOV,NA,NA,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,NA,Degree word-Adjective,No question particle,Initial interrogative phrase,Final subordinator word,NA,NA,OV and AdjN,NA,NA,NA,Subject affixes on verb,NA,NA,NA,NA,NA,NA,NA,NA,NA,Morphological but no compound,Negative affix,NA,NA,NA,Interrogative intonation only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Different,Different,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V-Neg],MorphNeg,mini1256,Minica Huitoto
hmr,5,36.5,Average,Average (5-6),Moderately high,In both plosives and fricatives,None missing in /p t k b d g/,Uvular stops only,Ejectives and implosives,"/l/, no obstruent laterals",NA,NA,None,Moderately complex,Simple tone system,NA,NA,NA,NA,All present,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No gender distinctions,NA,NA,NA,No adpositions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No second-person imperatives,Special imperative + special negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neutral,NA,No person marking,No person marking,A and P do not or do not both occur on the verb,NA,NA,Present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mixed,Different,Impossible,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hame1242,Hamer-Banna
hmu,-2.41666666667,-71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Initial,Fixed stress (no weight-sensitivity),No weight,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3rd person only, but also non-singular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accusative,NA,Only the A argument,Zero in all 3rd person forms,A and P do not or do not both occur on the verb,NA,NA,Present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Different,Different,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nupo1240,Nupode Huitoto
hna,10.3333333333,13.8333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plural clitic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No case affixes or adpositional clitics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SVO,SV,VO,VOX,Prepositions,Noun-Genitive,Noun-Adjective,Noun-Demonstrative,Noun-Numeral,Noun-Relative clause,NA,Final,Not initial interrogative phrase,Initial subordinator word,VO and Prepositions,VO and NRel,VO and NAdj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative particle,NA,NA,NA,Question particle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VNeg,SVONeg,mina1276,Mina (Cameroon)
hnd,-1.16666666667,28.8333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong prefixing,NA,NA,NA,NA,NA,NA,Plural prefix,NA,NA,NA,Definite affix,"No indefinite, but definite article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case prefixes,NA,NA,NA,NA,NA,Prefixes and suffixes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tense-aspect prefixes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SVO,SV,VO,NA,NA,Noun-Genitive,Noun-Adjective,Noun-Demonstrative,Noun-Numeral,Noun-Relative clause,Adjective-Degree word,In either of two positions,NA,Initial subordinator word,NA,VO and NRel,VO and NAdj,NA,NA,NA,Subject affixes on verb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative affix,NA,NA,NA,Question particle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[Neg-V],MorphNeg,hund1239,Hunde
hnk,42.1666666667,46,NA,NA,NA,NA,NA,NA,NA,NA,No velar nasal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hinu1240,Hinuq
hnn,12.3333333333,121.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Penultimate,Fixed stress (no weight-sensitivity),Lexical stress,Undetermined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marked by prefix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hanu1241,Hanunoo
hno,54,-132.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No fixed stress,Unbounded: Stress can be anywhere,Prominence,Iambic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nort2938,Northern Haida
ho,22,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly suffixing,NA,NA,NA,NA,NA,NA,Plural suffix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case suffixes,Differentiation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tense-aspect suffixes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OV,NA,Postpositions,Genitive-Noun,Adjective-Noun,NA,NA,Relative clause-Noun,NA,Final,NA,Final subordinator word,OV and Postpositions,OV and RelN,OV and AdjN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Question particle,NA,NA,NA,NA,NA,NA,NA,NA,Deranked,Deranked,Balanced/deranked,Balanced,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hooo1248,Ho
hoa,-8.08333333333,157.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Little affixation,NA,NA,NA,NA,NA,NA,Plural word,"All nouns, always obligatory",NA,NA,NA,Indefinite word same as 'one',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No case affixes or adpositional clitics,NA,NA,NA,NA,NA,Possessive suffixes,NA,NA,NA,NA,NA,NA,Differentiation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VSO,VS,VO,NA,Prepositions,Noun-Genitive,Noun-Adjective,Noun-Demonstrative,Numeral-Noun,Noun-Relative clause,Adjective-Degree word,No question particle,Not initial interrogative phrase,Initial subordinator word,VO and Prepositions,VO and NRel,VO and NAdj,NA,NA,NA,NA,NA,NA,NA,Mixed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Interrogative intonation only,NA,NA,NA,NA,NA,NA,NA,Subject is left implicit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NegV,NegVSO,hoav1238,Hoava
hok,25,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No distributive numerals,Optional,NA,NA,NA,NA,Weakly differentiated,Marked by following word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,minn1241,Min Nan Chinese
hol,-5.16666666667,29.9166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SVO,SV,VO,NA,NA,NA,Noun-Adjective,Mixed,Noun-Numeral,Noun-Relative clause,NA,NA,NA,NA,NA,VO and NRel,VO and NAdj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative affix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[Neg-V],MorphNeg,holo1240,Holoholo
hop,36,-110,Average,Average (5-6),Average,No voicing contrast,Other,Uvular stops only,No glottalized consonants,No laterals,NA,NA,Mid only,Complex,Simple tone system,No fixed stress,Left-edge: First or second,Long vowel or coda consonant,Undetermined,All present,None,NA,NA,NA,NA,NA,NA,Strongly suffixing,Productive full and partial reduplication,NA,NA,NA,NA,NA,Plural suffix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case suffixes,NA,"One-th, two-th, three-th",NA,NA,NA,Prefixes and suffixes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tense-aspect suffixes,NA,NA,NA,NA,NA,NA,NA,Indirect only,Separate particle,None,"Singular-plural pairs, no suppletion",SOV,SV,OV,NA,Postpositions,Genitive-Noun,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,NA,Degree word-Adjective,Initial,Not initial interrogative phrase,NA,OV and Postpositions,NA,OV and AdjN,NA,NA,NA,NA,NA,NA,NA,NA,Mixed,NA,NA,NA,NA,NA,NA,NA,NA,NA,Question particle,NA,Verbal encoding,Different,Possible,NA,NA,NA,NA,NA,NA,NA,NA,Identical,Different,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NegV,SONegV,hopi1249,Hopi
