wals.code,latitude,longitude,1A,2A,3A,4A,5A,6A,7A,8A,9A,10A,11A,12A,13A,14A,15A,16A,17A,18A,19A,20A,21A,22A,23A,24A,25A,26A,27A,28A,29A,30A,31A,32A,33A,34A,35A,36A,37A,38A,39A,40A,41A,42A,43A,44A,45A,46A,47A,48A,49A,50A,51A,52A,53A,54A,55A,56A,57A,58A,59A,60A,61A,62A,63A,64A,65A,66A,67A,68A,69A,70A,71A,72A,73A,74A,75A,76A,77A,78A,79A,80A,81A,82A,83A,84A,85A,86A,87A,88A,89A,90A,91A,92A,93A,94A,95A,96A,97A,98A,99A,100A,101A,102A,103A,104A,105A,106A,107A,108A,109A,110A,111A,112A,113A,114A,115A,116A,117A,118A,119A,120A,121A,122A,123A,124A,125A,126A,127A,128A,129A,130A,131A,132A,133A,134A,135A,136A,137A,138A,139A,140A,141A,142A,143A,144A,glottocode,language
aar,6,36.5833333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly suffixing,NA,NA,NA,NA,NA,NA,No plural,NA,NA,NA,Definite affix,"No indefinite, but definite article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case suffixes,NA,NA,NA,NA,NA,No possessive affixes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tense-aspect suffixes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SV,OV,NA,Postpositions,Genitive-Noun,Noun-Adjective,Noun-Demonstrative,Noun-Numeral,Noun-Relative clause,NA,No question particle,NA,NA,OV and Postpositions,OV and NRel,OV and NAdj,NA,NA,NA,Subject affixes on verb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative affix,NA,NA,NA,Interrogative verb morphology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V-Neg],MorphNeg,aari1239,Aari
aba,-4,141.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOV,SV,OV,NA,Postpositions,Genitive-Noun,NA,Noun-Demonstrative,Noun-Numeral,NA,NA,NA,NA,NA,OV and Postpositions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VNeg,SOVNeg,abau1245,Abau
abb,13.8333333333,20.8333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Second singular and second plural,Special imperative + normal negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chad1249,Chadian Arabic
abd,5.66666666667,-4.58333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,4.5-5.5,Green/blue,Red/yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,abid1235,Abidji
abe,33.9166666667,35.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No fixed stress,Right-oriented: One of the last three,Long vowel or coda consonant,Trochaic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nort3139,North Levantine Arabic
abh,26,50.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Logical meanings,NA,NA,baha1259,Baharna Arabic
abi,-29,-61,Moderately small,Average (5-6),Average,No voicing contrast,Other,Uvular stops and continuants,No glottalized consonants,"/l/, no obstruent laterals",No velar nasal,Contrast absent,None,Complex,NA,NA,NA,NA,NA,All present,None,Exclusively concatenative,No case,NA,NA,NA,NA,Strongly suffixing,NA,No case marking,Syncretic,NA,NA,NA,Plural suffix,NA,Person-number stem,NA,NA,NA,No inclusive/exclusive,'We' the same as 'I',NA,NA,NA,No gender distinctions,NA,NA,NA,No person marking,No morphological case-marking,No case-marking,No case affixes or adpositional clitics,NA,NA,NA,NA,NA,Prefixes and suffixes,NA,NA,NA,NA,NA,NA,NA,No grammatical marking,No past tense,No inflectional future,No perfect,Tense-aspect suffixes,NA,NA,NA,NA,NA,NA,NA,No grammatical evidentials,No grammatical evidentials,NA,NA,SVO,SV,VO,VOX,Prepositions,No dominant order,No dominant order,Demonstrative-Noun,NA,Noun-Relative clause,Degree word-Adjective,NA,Initial interrogative phrase,Initial subordinator word,VO and Prepositions,VO and NRel,Other,Neutral,Neutral,Accusative,NA,Both the A and P arguments,Zero in some 3sg forms,A precedes P,NA,NA,Absent,NA,NA,NA,Morphological but no compound,Negative particle,Both,A/Cat,NA,NA,NA,NA,NA,NA,Conjoined,NA,NA,NA,NA,NA,NA,NA,Different,Different,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NegV,Other,abip1241,Abipon
abk,43.0833333333,41,Large,Small (2-4),High,In both plosives and fricatives,None missing in /p t k b d g/,Uvular stops only,Ejectives only,"/l/, no obstruent laterals",No velar nasal,Contrast absent,None,Complex,No tones,No fixed stress,Not predictable,Lexical stress,NA,All present,Pharyngeals,Exclusively concatenative,No case,10-11 categories per word,Head marking,Head marking,Head-marking,Equal prefixing and suffixing,Productive full and partial reduplication,No case marking,Not syncretic,Three,Sex-based,Semantic,Plural suffix,"All nouns, always obligatory",Person-number stem,Unique affixal associative plural,Definite word distinct from demonstrative,Indefinite word same as 'one',Inclusive/exclusive,No inclusive/exclusive,Two-way contrast,Identical,NA,In 3rd person + 1st and/or 2nd person,NA,Special,Differentiated,Pronouns and nouns,2 cases,Symmetrical,No case affixes or adpositional clitics,Differentiation,"First/one-th, two-th, three-th",Marked by mixed or other strategies,Absent,NA,Possessive prefixes,Absent,No possessive classification,Highly differentiated,Without marking,Ergative-Possessive,'And' different from 'with',Identity,Grammatical marking,"Present, no remoteness distinctions",Inflectional future exists,Other perfect,Tense-aspect suffixes,Second singular and second plural,Special imperative + normal negative,Neither type of system,Inflectional optative present,Verbal constructions,Verbal constructions,Overlap for either possibility or necessity,Indirect only,Verbal affix or clitic,Tense,None,SOV,SV,OV,XOV,Postpositions,Genitive-Noun,Noun-Adjective,Demonstrative-Noun,No dominant order,Relative clause-Noun,Degree word-Adjective,No question particle,Not initial interrogative phrase,Subordinating suffix,OV and Postpositions,OV and RelN,OV and NAdj,Neutral,Neutral,Ergative,Subject affixes on verb,Both the A and P arguments,No zero realization,P precedes A,Indirect-object construction,Distinct from reflexive,Absent,No antipassive,Benefactive and other; only transitive,Purposive but no sequential,Morphological but no compound,Negative affix,Both,A/Cat,Predicate negation also present,Interrogative verb morphology,'Have',Verbal encoding,Different,Impossible,NA,Gap,Gap,Subject is expressed overtly,Balanced/deranked,Deranked,Deranked,Balanced/deranked,Different,Different,Hybrid vigesimal-decimal,NA,NA,NA,NA,No M-T pronouns,No N-M pronouns,NA,NA,NA,NA,NA,Type 3 / Type 4,MorphNeg,abkh1244,Abkhaz
abm,32.3333333333,-87.4166666667,Small,Small (2-4),Moderately high,In plosives alone,Other,None,No glottalized consonants,/l/ and lateral obstruent,No velar nasal,NA,None,NA,NA,NA,NA,NA,NA,All present,None,NA,NA,NA,NA,NA,NA,NA,Productive full and partial reduplication,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Interrogative-based,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,'And' different from 'with',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Indirect only,Verbal affix or clitic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Locational,Verbal encoding,Different,Possible,NA,NA,NA,NA,NA,NA,NA,NA,Different,Different,Decimal,NA,NA,NA,NA,NA,NA,Others,NA,NA,NA,NA,NA,NA,alab1237,Alabama
abn,-28.25,136.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly suffixing,NA,NA,NA,None,No gender,No gender,Plural suffix,NA,Person-number stem,NA,NA,NA,NA,NA,Three-way contrast,Identical,NA,No gender distinctions,NA,NA,NA,No adpositions,NA,NA,Case suffixes,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tense-aspect suffixes,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,SOV,SV,OV,NA,NA,No dominant order,Noun-Adjective,NA,NA,NA,NA,NA,NA,NA,NA,NA,OV and NAdj,NA,NA,Neutral,NA,No person marking,No person marking,A and P do not or do not both occur on the verb,NA,NA,Absent,NA,NA,NA,NA,Negative particle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NegV,Other,arab1267,Arabana
abo,5,36.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Two,Sex-based,Semantic and formal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOV,SV,OV,NA,NA,Noun-Genitive,Noun-Adjective,NA,Noun-Numeral,Noun-Relative clause,NA,NA,NA,NA,NA,OV and NRel,OV and NAdj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,arbo1245,Arbore
abu,-0.5,132.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Little affixation,NA,NA,NA,NA,NA,NA,No plural,No nominal plural,NA,NA,Demonstrative word used as definite article,Indefinite word distinct from 'one',NA,NA,NA,NA,NA,3rd person singular only,No politeness distinction,Generic-noun-based,NA,No person marking,NA,NA,No case affixes or adpositional clitics,NA,NA,NA,Obligatory,"Formally similar, without interrogative",NA,NA,NA,Highly differentiated,NA,NA,NA,Identity,NA,NA,NA,NA,No tense-aspect inflection,No second-person imperatives,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SVO,SV,VO,VOX,Prepositions,Genitive-Noun,Noun-Adjective,Noun-Demonstrative,Noun-Numeral,Noun-Relative clause,Adjective-Degree word,Final,Not initial interrogative phrase,Mixed,VO and Prepositions,VO and NRel,VO and NAdj,NA,NA,Neutral,Obligatory pronouns in subject position,No person marking,No person marking,A and P do not or do not both occur on the verb,Indirect-object construction,NA,Absent,NA,NA,NA,NA,Double negation,NA,NA,Predicate negation also present,Question particle,NA,NA,NA,NA,NA,NA,NA,Subject is expressed overtly,Deranked,Balanced,Balanced,Balanced,NA,NA,Decimal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ObligDoubleNeg,ObligDoubleNeg,abun1252,Abun
abv,-8.25,124.666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Equal prefixing and suffixing,NA,NA,NA,NA,NA,NA,Plural word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No case affixes or adpositional clitics,NA,NA,NA,NA,NA,Possessive prefixes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tense-aspect suffixes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOV,SV,OV,NA,No adpositions,Genitive-Noun,Noun-Adjective,Demonstrative-Noun,Noun-Numeral,Noun-Relative clause,NA,NA,Not initial interrogative phrase,NA,NA,OV and NRel,OV and NAdj,NA,NA,NA,Subject pronouns in different position,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative auxiliary verb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VNeg,SOVNeg,abui1241,Abui
abw,44,-72.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Different,Different,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,west2630,Western Abenaki
abz,44,42,NA,NA,NA,NA,NA,NA,NA,NA,No velar nasal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inflectional optative present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Benefactive and other; both bases,NA,NA,NA,NA,NA,NA,NA,NA,Verbal encoding,Different,Impossible,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Words derived from Sinitic cha,NA,NA,NA,NA,NA,NA,abaz1241,Abaza
ace,5.5,95.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ultimate,Fixed stress (no weight-sensitivity),Prominence,Trochaic,NA,NA,NA,NA,NA,Head marking,Head marking,Head-marking,Little affixation,NA,NA,NA,NA,NA,NA,No plural,No nominal plural,NA,NA,No definite or indefinite article,No definite or indefinite article,NA,NA,Three-way contrast,Identical,NA,No gender distinctions,NA,Interrogative-based,NA,No person marking,NA,NA,No case affixes or adpositional clitics,NA,NA,NA,NA,NA,No possessive affixes,NA,NA,NA,NA,NA,'And' identical to 'with',Identity,NA,NA,NA,NA,No tense-aspect inflection,No second-person imperatives,Normal imperative + special negative,NA,NA,Verbal constructions,Verbal constructions,Overlap for either possibility or necessity,NA,NA,NA,NA,No dominant order,No dominant order,No dominant order,No dominant order,Prepositions,Noun-Genitive,Noun-Adjective,Noun-Demonstrative,Numeral-Noun,Noun-Relative clause,No dominant order,In either of two positions,Mixed,Initial subordinator word,Other,Other,Other,NA,NA,Active,NA,Both the A and P arguments,Zero in all 3rd person forms,A precedes P,Mixed,NA,Absent,NA,NA,NA,Morphological but no compound,NA,NA,NA,Predicate negation also present,Question particle,Topic,Verbal encoding,Different,Possible,NA,Gap,Gap,Subject is left implicit,Balanced,Balanced,Balanced,Balanced,NA,NA,NA,NA,NA,NA,NA,No M-T pronouns,No N-M pronouns,Words derived from Min Nan Chinese te,NA,NA,NA,NA,NegV,NA,achi1257,Achinese
acg,4.41666666667,-72.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Initial,Fixed stress (no weight-sensitivity),No weight,NA,NA,NA,NA,NA,NA,NA,NA,NA,Equal prefixing and suffixing,NA,NA,NA,NA,NA,NA,Plural suffix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No case affixes or adpositional clitics,Differentiation,NA,NA,NA,NA,Possessive prefixes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tense-aspect suffixes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SVO,SV,VO,NA,Postpositions,Genitive-Noun,Noun-Adjective,NA,NA,Noun-Relative clause,NA,NA,Initial interrogative phrase,NA,VO and Postpositions,VO and NRel,VO and NAdj,NA,NA,NA,Subject affixes on verb,NA,NA,NA,NA,Distinct from reflexive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Different,Different,Restricted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NegV,SNegVO,acha1250,Achagua
ach,-25.25,-55.1666666667,Small,Average (5-6),Moderately low,No voicing contrast,Other,None,No glottalized consonants,"Laterals, but no /l/, no obstruent laterals",NA,NA,None,Simple,NA,NA,NA,NA,NA,All present,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ache1246,Ache (Tupian)
aci,15.1666666667,-90.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"First, two-th, three-th",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,achi1256,Achi
acl,3,32.6666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Equal prefixing and suffixing,NA,NA,NA,NA,NA,NA,Mixed morphological plural,NA,NA,NA,Definite affix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No case affixes or adpositional clitics,Identity,NA,NA,NA,NA,Possessive suffixes,NA,NA,NA,NA,NA,'And' identical to 'with',NA,NA,NA,NA,NA,Tense-aspect prefixes,Second singular and second plural,Special imperative + special negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,SVO,SV,VO,NA,Prepositions,Noun-Genitive,Noun-Adjective,NA,Noun-Numeral,Noun-Relative clause,NA,NA,Not initial interrogative phrase,Initial subordinator word,VO and Prepositions,VO and NRel,VO and NAdj,NA,NA,NA,Subject affixes on verb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Conjunctional,Mixed,Different,Possible,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type 1 / Type 2,More than one position,acol1236,Acoli
acm,41.5,-121,Moderately small,Average (5-6),Average,No voicing contrast,Other,Uvular stops and continuants,No glottalized consonants,"/l/, no obstruent laterals",NA,NA,None,NA,Simple tone system,NA,NA,NA,NA,All present,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No gender distinctions,NA,NA,NA,No adpositions,NA,NA,Case suffixes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tense-aspect suffixes,NA,NA,NA,NA,NA,NA,NA,Indirect only,Verbal affix or clitic,NA,NA,SVO,SV,VO,No dominant order,Prepositions,NA,NA,NA,NA,NA,NA,NA,NA,NA,VO and Prepositions,NA,NA,NA,NA,Accusative,NA,Both the A and P arguments,No zero realization,A and P are fused,NA,NA,Absent,NA,NA,NA,NA,Negative auxiliary verb,Asymmetric,A/Fin,NA,NA,NA,Mixed,Different,Impossible,NA,NA,NA,NA,NA,NA,NA,NA,Different,Different,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NegV,Other,achu1247,Achumawi
acn,25,98.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SV,OV,NA,Postpositions,Genitive-Noun,No dominant order,Noun-Demonstrative,Noun-Numeral,Relative clause-Noun,NA,Final,Not initial interrogative phrase,NA,OV and Postpositions,OV and RelN,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Question particle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,acha1249,Longchuan Achang
aco,34.9166666667,-107.583333333,Large,Average (5-6),High,No voicing contrast,Other,None,Ejectives and glottalized resonants,No laterals,No velar nasal,Contrast absent,None,Moderately complex,Complex tone system,NA,NA,NA,NA,All present,'Th' sounds,Exclusively concatenative,No case,4-5 categories per word,Head marking,Head marking,Head-marking,Equal prefixing and suffixing,NA,No case marking,Not syncretic,None,No gender,No gender,Plural suffix,"All nouns, always optional",No independent subject pronouns,No associative plural,No definite or indefinite article,No definite or indefinite article,No 'we','We' the same as 'I',Three-way contrast,Identical,NA,NA,No politeness distinction,Interrogative-based,NA,No person marking,No morphological case-marking,No case-marking,NA,Differentiation,"First/one-th, two-th, three-th",NA,Absent,NA,Possessive prefixes,Exists,No possessive classification,NA,NA,NA,NA,Identity,No grammatical marking,No past tense,No inflectional future,No perfect,Tense-aspect suffixes,Second singular and second plural,Normal imperative + special negative,Neither type of system,Inflectional optative absent,Affixes on verbs,Affixes on verbs,No overlap,Direct and indirect,Verbal affix or clitic,None,None,No dominant order,SV,No dominant order,No dominant order,Postpositions,Genitive-Noun,No dominant order,Demonstrative-Noun,No dominant order,NA,NA,NA,NA,Initial subordinator word,Other,Other,Other,Neutral,NA,Active,Subject affixes on verb,Both the A and P arguments,No zero realization,A and P are fused,NA,NA,Absent,Implicit patient,Benefactive and other; both bases,NA,NA,Negative particle,Both,A/Cat,NA,NA,NA,Verbal encoding,Different,Impossible,NA,Relative pronoun,Relative pronoun,NA,NA,Balanced,NA,Balanced,NA,NA,Decimal,NA,NA,NA,NA,No M-T pronouns,No N-M pronouns,NA,NA,NA,NA,NA,Type 1 / Type 4,NA,west2632,Western Keres
