word_order,n,empirical_entropy,ci_upper,ci_lower,length,language,person
1,622,9.280770770130603,9.385916272759054,9.16741814583174,5,English,Child
2,792,9.629356620079612,9.716004851075427,9.539061725245853,5,English,Child
3,897,9.80896417491926,9.893301530860564,9.715961990255146,5,English,Child
4,1042,10.02513956227851,10.105941222746663,9.948367231584678,5,English,Child
5,1376,10.426264754702098,10.488894509714411,10.357524503758176,5,English,Child
1,343,8.422064766172813,8.562242424221074,8.266669248311782,7,English,Child
2,452,8.820178962415188,8.942587738615208,8.696880512015916,7,English,Child
3,548,9.098032082960525,9.197216693110054,8.982922224767933,7,English,Child
4,579,9.177419537989238,9.28771237954945,9.068778277985412,7,English,Child
5,573,9.162391328756906,9.266845044156266,9.044394119358454,7,English,Child
6,582,9.184875342908285,9.290076416579353,9.071462362556625,7,English,Child
7,883,9.786269627648467,9.870364719583405,9.695228291495752,7,English,Child
1,181,7.499845887083206,7.693486957499325,7.285402218862249,9,English,Child
2,267,8.060695931687555,8.224001674198107,7.882489896791921,9,English,Child
3,316,8.303780748177104,8.451314014544133,8.144530570571055,9,English,Child
4,312,8.285402218862247,8.422169765886045,8.134426320220925,9,English,Child
5,332,8.375039431346925,8.511851333380296,8.233619676759703,9,English,Child
6,349,8.447083226209653,8.585056304092683,8.294620748891626,9,English,Child
7,353,8.46352437327118,8.599912842187129,8.31741261376487,9,English,Child
8,328,8.357552004618084,8.487840033823051,8.219168520462162,9,English,Child
9,508,8.988684686772165,9.098032082960525,8.867201424833278,9,English,Child
1,1270,10.310612781659529,10.382651033222395,10.233559714358488,5,English,Adult
2,1582,10.627533884472792,10.689997971419444,10.563196272216738,5,English,Adult
3,1733,10.759055939160172,10.819400745153365,10.69342155879415,5,English,Adult
4,2073,11.017504401109415,11.072132604167233,10.959983821409393,5,English,Adult
5,2809,11.455840909126401,11.501837184902298,11.412027276388162,5,English,Adult
1,926,9.854868383260238,9.936637939002571,9.768101506425907,7,English,Adult
2,1236,10.271463027904375,10.348783429913961,10.193525360501216,7,English,Adult
3,1440,10.491853096329676,10.561311807141236,10.4241662888181,7,English,Adult
