word_order,n,empirical_entropy,ci_upper,ci_lower,length
1,972,5.336436851115564,6.309553500690655,4.730691932399036,2
2,1363,6.221278273177124,7.118248424115695,5.688431888276137,2
1,833,5.971847675363341,6.905265479738768,5.407157584586161,3
2,1163,7.150977842058144,7.729802687929119,6.691349725857401,3
3,1553,7.925077707641233,8.329705920991811,7.604606414338903,3
1,732,6.2421621782234284,6.918781596259588,5.781850024534454,4
2,1058,7.477276244244818,7.906301798337632,7.128800349950307,4
3,1308,7.997777557868636,8.321607546844632,7.699355808016829,4
4,1732,8.51316178101156,8.987298466210138,8.161582959729296,4
1,674,6.334257069962172,6.928432000063289,5.969124719297581,5
2,1034,7.496863287293883,8.002285951120037,7.058930374478126,5
3,1246,8.142983904350073,8.436388975398144,7.914887603777519,5
4,1488,8.355765604026566,8.68178420063424,8.09009600648528,5
5,1857,8.8596706679666255,9.326636702237797,8.471633365400692,5
1,654,6.292052804668512,6.813394150339075,5.959904987783452,6
2,917,7.408021327502184,7.843789243004071,6.965669803839256,6
3,1173,8.029217809363546,8.385781331857508,7.71876058121495,6
4,1336,8.274871237499518,8.62329386328139,7.9930166863022745,6
5,1504,8.42857274856403,8.778709575177647,8.144900986021113,6
6,1774,8.844124129843815,9.306777062685093,8.421055179845439,6
1,618,6.209381678452145,6.743907350221264,5.876940185243397,7
2,908,7.355097822014594,7.792201191423817,6.953727613410238,7
3,1114,7.983470251970774,8.283935646694507,7.692770763516548,7
4,1311,8.31390837040223,8.653667800359688,8.047787073078439,7
5,1422,8.43620555407112,8.779689341636914,8.174605197608207,7
6,1491,8.396397338342263,8.7801194498651,8.088764825948616,7
7,1779,8.88757150674358,9.3428628870413,8.482502325997489,7
1,577,6.073353074861673,6.6291439072142735,5.708018594166738,8
2,849,7.255590756898544,7.668619351466138,6.869568731684951,8
3,1102,7.958575261320386,8.292639009224692,7.688180786325234,8
4,1205,8.148351605929571,8.475382134989532,7.8860680980912665,8
5,1355,8.390815099818399,8.75112980380198,8.09852789497302,8
6,1397,8.451280482060097,8.80317781732623,8.155524971292639,8
7,1473,8.451801281491766,8.865237631637934,8.127008815106358,8
8,1701,8.874063951615296,9.315271475556159,8.497060804018217,8
1,553,6.027540587625037,6.533646511448204,5.67900285307527,9
2,805,7.229777565661431,7.673138676892457,6.831903265153926,9
3,1020,7.909519643607374,8.222433534353067,7.618340718216119,9
4,1215,8.143770601482036,8.470620353909666,7.867324014578276,9
5,1269,8.260284862688621,8.61106035942081,7.984208508331105,9
6,1336,8.398972805581957,8.730924951867355,8.121464548361224,9
7,1446,8.506684408665352,8.89855179126019,8.214359123935491,9
8,1458,8.495308442716587,8.881756187475114,8.21825524232345,9
9,1716,8.910513224619375,9.37125014692098,8.442460097393306,9
1,537,6.0041290638142,6.5536370722916155,5.682231080999449,10
2,801,7.181713584560706,7.653859368857259,6.708266705370136,10
3,994,7.882564342300332,8.24484125142409,7.569396472165282,10
4,1109,8.092316073639134,8.450600324441663,7.831200564437725,10
5,1188,8.253980755987008,8.560758514544748,7.986486182685099,10
6,1284,8.374743552262714,8.747473520778016,8.106189081402508,10
7,1316,8.3954306954765,8.762102936289436,8.084319231652502,10
8,1346,8.458957427108347,8.801041714598439,8.181721921462438,10
9,1384,8.438572688289794,8.825957171658708,8.114608515233966,10
10,1641,8.870418694187642,9.316414780757626,8.428808734238435,10
